dataset,dataset_index,speaker_id,chapter_id,utterance_id,codec,bitrate,spectral_distortion,lsd_db,retained_bandwidth_hz,hf_power_change_db,estimated_delay_samples,estimated_delay_ms
test-clean,1525,5142,33396,63,opus,64k,2.6372718811035156,1.5038975477218628,8000.0,-0.011266466984441743,0,0.0
test-clean,1525,5142,33396,63,opus,32k,10.545256614685059,3.2001359462738037,8000.0,-0.4065785178939338,0,0.0
test-clean,1525,5142,33396,63,opus,16k,23.231691360473633,4.743228435516357,8000.0,-0.37873492275590825,0,0.0
test-clean,1525,5142,33396,63,opus,12k,28.538742065429688,5.257486820220947,8000.0,-0.11883757730838966,0,0.0
test-clean,1525,5142,33396,63,opus,8k,100.36421966552734,9.376884460449219,4843.75,-14.107760327093313,2,0.125
test-clean,1525,5142,33396,63,opus,6k,105.22091674804688,9.641030311584473,4875.0,-12.1379453927864,2,0.125
test-clean,151,121,127105,17,mp3,128k,77.27644348144531,7.671291828155518,7281.25,-2.0517725349465152,0,0.0
test-clean,151,121,127105,17,mp3,64k,86.70020294189453,8.256132125854492,7281.25,-2.069341582904229,0,0.0
test-clean,151,121,127105,17,mp3,32k,128.27178955078125,10.311138153076172,7281.25,-1.5712924073365295,0,0.0
test-clean,151,121,127105,17,mp3,24k,257.77337646484375,14.26507568359375,5812.5,-4.039720397457194,0,0.0
test-clean,151,121,127105,17,mp3,16k,359.18548583984375,17.033899307250977,5562.5,-5.471188169507762,0,0.0
test-clean,151,121,127105,17,opus,64k,4.272772312164307,1.9165170192718506,8000.0,-1.1533295116424962,0,0.0
test-clean,151,121,127105,17,opus,32k,31.030426025390625,5.3034868240356445,8000.0,-3.680390766054311,0,0.0
test-clean,151,121,127105,17,opus,16k,53.38689041137695,6.978267669677734,8000.0,-4.1505840066905515,0,0.0
test-clean,151,121,127105,17,opus,12k,60.17689895629883,7.425037384033203,8000.0,-3.5309770256055377,0,0.0
