dataset,codec,bitrate,layer,cosine_mean,cosine_median,cosine_std,drift_mean,drift_median,drift_std,sdrift_mean,sdrift_median,sdrift_std
test-other,mp3,24k,layer_5,0.9215523076057434,0.9251657128334045,0.0264097842199524,0.07844769239425659,0.07483428716659546,0.026409784219952402,0.1106898764371872,0.10499715805053711,0.037836041801685594
test-other,mp3,16k,layer_5,0.8700830014944076,0.8729425966739655,0.03583593942467891,0.12991699850559235,0.12705740332603455,0.03583593942467891,0.1831414579153061,0.17753487825393677,0.0507072055806701
test-other,opus,64k,layer_5,0.9937851020097732,0.9960250854492188,0.007501340807820436,0.006214897990226746,0.00397491455078125,0.007501340807820437,0.008432025909423829,0.005273669958114624,0.010248389131536969
test-other,opus,32k,layer_5,0.9762449609041214,0.9783427119255066,0.011357941910725568,0.023755039095878602,0.021657288074493408,0.011357941910725556,0.03200620114803314,0.028960108757019043,0.015495694066532818
test-other,opus,16k,layer_5,0.9529453127384185,0.9555554986000061,0.01733195537617346,0.04705468726158142,0.044444501399993896,0.017331955376173457,0.06358173513412475,0.060041844844818115,0.023222014927610248
test-other,opus,12k,layer_5,0.9285305714607239,0.9329919815063477,0.022049088817513603,0.07146942853927613,0.06700801849365234,0.02204908881751358,0.09739135158061982,0.09134584665298462,0.029828352998919304
test-other,opus,8k,layer_5,0.8114516072273255,0.8149624764919281,0.04490674121295397,0.18854839277267457,0.1850375235080719,0.04490674121295396,0.25997885000705717,0.2557586431503296,0.062289313541345794
test-other,opus,6k,layer_5,0.7590224207639694,0.7619785666465759,0.04886929864000493,0.24097757923603058,0.23802143335342407,0.0488692986400049,0.3331869932413101,0.32940158247947693,0.06770612123526325
test-clean,mp3,128k,layer_6,0.9950544692277908,0.9959465265274048,0.003641234444349097,0.004945530772209167,0.004053473472595215,0.0036412344443491054,0.006817840576171875,0.005481719970703125,0.0050654353745077435
test-clean,mp3,64k,layer_6,0.9931694062948226,0.9942066669464111,0.003909288594847814,0.006830593705177307,0.005793333053588867,0.00390928859484781,0.009385808825492859,0.008144646883010864,0.005418540372367042
test-clean,mp3,32k,layer_6,0.9730285577774048,0.9744191467761993,0.008525153493123022,0.026971442222595215,0.02558085322380066,0.008525153493123019,0.036597841262817385,0.03457522392272949,0.012085839848602759
test-clean,mp3,24k,layer_6,0.941477931857109,0.9448888897895813,0.01930179683559734,0.05852206814289093,0.0551111102104187,0.019301796835597358,0.0789765989780426,0.07288247346878052,0.027329092153823127
test-clean,mp3,16k,layer_6,0.9041131498813629,0.9086346924304962,0.027134910700249294,0.09588685011863708,0.09136530756950378,0.027134910700249294,0.128638480424881,0.12202194333076477,0.03793642552476561
test-clean,opus,64k,layer_6,0.9948172377347946,0.9962417781352997,0.004931398490186006,0.005182762265205383,0.0037582218647003174,0.004931398490185998,0.00695898187160492,0.0050296783447265625,0.006619965332301533
test-clean,opus,32k,layer_6,0.9826888393163681,0.9844405353069305,0.008167143929148732,0.017311160683631897,0.015559464693069458,0.008167143929148756,0.022920868158340456,0.020508795976638794,0.011034516269233125
test-clean,opus,16k,layer_6,0.9669785813093186,0.9694727063179016,0.012620748446492209,0.03302141869068146,0.03052729368209839,0.012620748446492221,0.043216068029403684,0.03983840346336365,0.017048884110621387
